treated_airport,side,metric,donor_airport,weight,scenario
EWR,arr,delay15_rate,CMH,0.3018849918051998,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,PHL,0.2968909605994664,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,BOS,0.28841697153601353,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,DEN,0.04930460578971629,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,DCA,0.042876634110203975,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,DFW,0.020625836159398905,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,HNL,2.1676644033580447e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,AUS,1.3595240601697247e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,MCO,1.2816050297966246e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,MSP,1.143000240683092e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,SNA,9.861728460731776e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,MDW,9.318424914120626e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,STL,7.211556801932857e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,IAD,5.0475100398008187e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,SAT,4.76447250209794e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,RSW,4.46692669515428e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,PDX,3.9068321053152456e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,CVG,3.850090721200337e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,OAK,3.272196429799416e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,TPA,3.2135848420265964e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,PHX,3.0212896012399105e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,BWI,2.6021997856668676e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,DAL,1.288485987871377e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,PIT,6.0299210626763774e-18,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,ATL,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,SFO,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,SEA,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,LAX,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,ORD,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,CLT,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,LAS,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,IAH,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,DTW,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,SMF,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,FLL,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,BNA,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,MIA,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,SLC,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,SAN,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,SJC,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,IND,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,MCI,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,MSY,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,HOU,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,RDU,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,CLE,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,delay15_rate,SJU,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,BOS,0.7442555712880631,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,DEN,0.16367556889527785,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,FLL,0.0865920475366875,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,DCA,0.0054768122799700005,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,PHX,3.0527257370156977e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,SLC,1.8210693795179913e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,MDW,1.7048230420628776e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,TPA,1.2671600123680302e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,IND,1.0969957332381276e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,CLT,1.0668817621058628e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,OAK,1.0278435394704946e-16,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,SAT,9.97077160944168e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,SAN,8.454153695827909e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,HNL,7.662288008481131e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,ORD,6.676647297442067e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,PDX,6.029253937481431e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,STL,5.600298452982366e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,PIT,3.895060589829802e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,CMH,3.523472527231458e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,LAX,3.521835877705419e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,CLE,3.423853364165647e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,SJU,2.885534751690614e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,PHL,2.4996247228363935e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,AUS,1.6994867910848545e-17,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,CVG,8.039818020626995e-18,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,RDU,6.763874118075907e-18,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,IAD,1.376043376543385e-18,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,MCO,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,ATL,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,DFW,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,LAS,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,IAH,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,DTW,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,SFO,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,SEA,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,BNA,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,MSP,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,MIA,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,BWI,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,SMF,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,DAL,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,HOU,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,MSY,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,SJC,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,MCI,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,SNA,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,arr,nas_delay_per_scheduled_op,RSW,0.0,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,BOS,0.33248052070661277,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,BWI,0.1625735375504097,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,IAH,0.13491212106407927,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,DAL,0.12640594052082252,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,CMH,0.11529177422783994,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,SFO,0.06863890006278882,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,HOU,0.026059068520431963,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,PHL,0.022622760722847485,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,IAD,0.011015376624166774,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,LAS,1.6491983048724884e-16,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,CLT,1.3138148927741638e-16,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,ATL,1.0670965021716505e-16,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,MSY,8.389353976174846e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,DFW,7.701880198728344e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,MDW,6.234471909645842e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,SAT,4.400404755012219e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,STL,4.2723649615764684e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,RDU,4.087930764160397e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,DTW,3.9236967866161475e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,PIT,3.674794504813389e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,TPA,2.850305443898969e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,SAN,2.6306502983227302e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,CLE,2.3499728676881607e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,MCO,2.3157184610111588e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,SNA,1.9342615303928667e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,SLC,1.3961581341869744e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,MIA,1.0280441046265707e-17,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,HNL,3.444570675786879e-18,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,IND,3.387918217045617e-18,"Exclude NYC airports (JFK, LGA)"
EWR,dep,delay15_rate,SJU,3.152220785004317e-18,"Exclude NYC airports (JFK, LGA)"
