treated_airport,side,metric,donor_airport,weight
EWR,arr,delay15_rate,CLE,0.0
EWR,arr,delay15_rate,RSW,0.0
EWR,arr,delay15_rate,SJU,0.0
EWR,arr,nas_delay_per_scheduled_op,LGA,0.6126193436078264
EWR,arr,nas_delay_per_scheduled_op,JFK,0.3868583410729925
EWR,arr,nas_delay_per_scheduled_op,DEN,0.0005223153191794507
EWR,arr,nas_delay_per_scheduled_op,STL,3.1550924291445644e-16
EWR,arr,nas_delay_per_scheduled_op,PHL,1.645671464279076e-16
EWR,arr,nas_delay_per_scheduled_op,MIA,1.446856100763326e-16
EWR,arr,nas_delay_per_scheduled_op,PHX,1.4086051949235784e-16
EWR,arr,nas_delay_per_scheduled_op,PDX,1.2805040033619687e-16
EWR,arr,nas_delay_per_scheduled_op,IAD,1.2369871443727522e-16
EWR,arr,nas_delay_per_scheduled_op,PIT,1.2242006182882646e-16
EWR,arr,nas_delay_per_scheduled_op,IAH,1.1452018023987803e-16
EWR,arr,nas_delay_per_scheduled_op,DFW,9.190239439069673e-17
EWR,arr,nas_delay_per_scheduled_op,SJU,8.996725808833912e-17
EWR,arr,nas_delay_per_scheduled_op,IND,8.822840520257336e-17
EWR,arr,nas_delay_per_scheduled_op,HOU,5.045688597867435e-17
EWR,arr,nas_delay_per_scheduled_op,SEA,4.246241789632189e-17
EWR,arr,nas_delay_per_scheduled_op,SFO,3.351008626084201e-17
EWR,arr,nas_delay_per_scheduled_op,LAS,3.2832585011305996e-17
EWR,arr,nas_delay_per_scheduled_op,BNA,2.816463500258936e-17
EWR,arr,nas_delay_per_scheduled_op,MSY,4.876699684818448e-18
EWR,arr,nas_delay_per_scheduled_op,CLE,3.934333252427521e-18
EWR,arr,nas_delay_per_scheduled_op,SLC,0.0
EWR,arr,nas_delay_per_scheduled_op,CLT,0.0
EWR,arr,nas_delay_per_scheduled_op,LAX,0.0
EWR,arr,nas_delay_per_scheduled_op,MCO,0.0
EWR,arr,nas_delay_per_scheduled_op,ORD,0.0
EWR,arr,nas_delay_per_scheduled_op,DTW,0.0
EWR,arr,nas_delay_per_scheduled_op,BOS,0.0
EWR,arr,nas_delay_per_scheduled_op,DCA,0.0
EWR,arr,nas_delay_per_scheduled_op,ATL,0.0
EWR,arr,nas_delay_per_scheduled_op,SAN,0.0
EWR,arr,nas_delay_per_scheduled_op,AUS,0.0
EWR,arr,nas_delay_per_scheduled_op,MSP,0.0
EWR,arr,nas_delay_per_scheduled_op,SMF,0.0
EWR,arr,nas_delay_per_scheduled_op,TPA,0.0
EWR,arr,nas_delay_per_scheduled_op,DAL,0.0
EWR,arr,nas_delay_per_scheduled_op,MDW,0.0
EWR,arr,nas_delay_per_scheduled_op,FLL,0.0
EWR,arr,nas_delay_per_scheduled_op,BWI,0.0
EWR,arr,nas_delay_per_scheduled_op,RDU,0.0
EWR,arr,nas_delay_per_scheduled_op,HNL,0.0
EWR,arr,nas_delay_per_scheduled_op,CMH,0.0
EWR,arr,nas_delay_per_scheduled_op,SJC,0.0
EWR,arr,nas_delay_per_scheduled_op,MCI,0.0
EWR,arr,nas_delay_per_scheduled_op,SNA,0.0
EWR,arr,nas_delay_per_scheduled_op,SAT,0.0
EWR,arr,nas_delay_per_scheduled_op,OAK,0.0
EWR,arr,nas_delay_per_scheduled_op,RSW,0.0
EWR,arr,nas_delay_per_scheduled_op,CVG,0.0
EWR,dep,scheduled_ops,MIA,0.682500643766921
EWR,dep,scheduled_ops,LGA,0.24838031125068263
EWR,dep,scheduled_ops,RSW,0.04769597260030828
EWR,dep,scheduled_ops,HNL,0.02142307238208019
EWR,dep,scheduled_ops,DCA,1.5913225595768618e-15
EWR,dep,scheduled_ops,LAX,9.909180067482166e-16
EWR,dep,scheduled_ops,PHL,8.33428981187218e-16
EWR,dep,scheduled_ops,SAN,7.287392508779442e-16
EWR,dep,scheduled_ops,LAS,7.159711136120641e-16
EWR,dep,scheduled_ops,DFW,5.941955655356578e-16
EWR,dep,scheduled_ops,FLL,5.543961192106213e-16
EWR,dep,scheduled_ops,MCO,2.9740997700768772e-16
EWR,dep,scheduled_ops,SJC,2.9357512472589176e-16
EWR,dep,scheduled_ops,SEA,2.9027543011053523e-16
EWR,dep,scheduled_ops,SAT,2.4313298570288914e-16
EWR,dep,scheduled_ops,SNA,1.8945493940879192e-16
EWR,dep,scheduled_ops,MDW,1.8407394709300223e-16
EWR,dep,scheduled_ops,PDX,1.112474900045701e-16
EWR,dep,scheduled_ops,IND,1.0776070523278368e-16
EWR,dep,scheduled_ops,TPA,8.205016221704026e-17
EWR,dep,scheduled_ops,AUS,7.188348457179178e-17
EWR,dep,scheduled_ops,CVG,4.955414883569978e-17
EWR,dep,scheduled_ops,RDU,4.2243368798976985e-17
EWR,dep,scheduled_ops,SLC,0.0
EWR,dep,scheduled_ops,IAH,0.0
EWR,dep,scheduled_ops,PHX,0.0
EWR,dep,scheduled_ops,ORD,0.0
EWR,dep,scheduled_ops,DTW,0.0
EWR,dep,scheduled_ops,SFO,0.0
EWR,dep,scheduled_ops,BOS,0.0
EWR,dep,scheduled_ops,DEN,0.0
EWR,dep,scheduled_ops,ATL,0.0
EWR,dep,scheduled_ops,CLT,0.0
EWR,dep,scheduled_ops,SMF,0.0
EWR,dep,scheduled_ops,IAD,0.0
EWR,dep,scheduled_ops,STL,0.0
EWR,dep,scheduled_ops,DAL,0.0
EWR,dep,scheduled_ops,JFK,0.0
EWR,dep,scheduled_ops,BNA,0.0
EWR,dep,scheduled_ops,MSP,0.0
EWR,dep,scheduled_ops,BWI,0.0
EWR,dep,scheduled_ops,CMH,0.0
EWR,dep,scheduled_ops,MCI,0.0
EWR,dep,scheduled_ops,HOU,0.0
EWR,dep,scheduled_ops,MSY,0.0
EWR,dep,scheduled_ops,CLE,0.0
EWR,dep,scheduled_ops,PIT,0.0
EWR,dep,scheduled_ops,OAK,0.0
EWR,dep,scheduled_ops,SJU,0.0
EWR,dep,cancel_rate,PIT,0.46337925180739475
EWR,dep,cancel_rate,LGA,0.32597741798407126
EWR,dep,cancel_rate,CMH,0.08949759622118753
EWR,dep,cancel_rate,JFK,0.04572503231974009
EWR,dep,cancel_rate,OAK,0.03857963829131168
EWR,dep,cancel_rate,IAH,0.021046893170325567
EWR,dep,cancel_rate,MSY,0.013485897073757708
EWR,dep,cancel_rate,DFW,0.0023082731322095597
EWR,dep,cancel_rate,PHL,3.4163708412504513e-16
EWR,dep,cancel_rate,BOS,1.9832214219327786e-16
EWR,dep,cancel_rate,DAL,1.2527174096724713e-16
EWR,dep,cancel_rate,SNA,1.2242965867709923e-16
EWR,dep,cancel_rate,LAS,1.0240432347506549e-16
EWR,dep,cancel_rate,SAT,9.635605146044747e-17
EWR,dep,cancel_rate,TPA,8.236221503161142e-17
EWR,dep,cancel_rate,PHX,8.174233159829595e-17
EWR,dep,cancel_rate,ORD,6.912423827935479e-17
EWR,dep,cancel_rate,HOU,6.576193845224116e-17
EWR,dep,cancel_rate,ATL,6.514421631978375e-17
EWR,dep,cancel_rate,SJC,6.317722574007601e-17
EWR,dep,cancel_rate,IND,5.673315652930743e-17
EWR,dep,cancel_rate,SAN,5.431271856054345e-17
EWR,dep,cancel_rate,MDW,3.7270312970431665e-17
EWR,dep,cancel_rate,SJU,3.17401954081284e-17
EWR,dep,cancel_rate,BNA,2.976601000225561e-17
EWR,dep,cancel_rate,DCA,2.9173274624077626e-17
EWR,dep,cancel_rate,CLE,2.8953779368247947e-17
EWR,dep,cancel_rate,CVG,1.7994057782191462e-17
EWR,dep,cancel_rate,SFO,4.163673235750738e-18
EWR,dep,cancel_rate,DEN,0.0
EWR,dep,cancel_rate,CLT,0.0
EWR,dep,cancel_rate,LAX,0.0
EWR,dep,cancel_rate,MCO,0.0
EWR,dep,cancel_rate,SLC,0.0
EWR,dep,cancel_rate,DTW,0.0
EWR,dep,cancel_rate,SEA,0.0
EWR,dep,cancel_rate,PDX,0.0
EWR,dep,cancel_rate,FLL,0.0
EWR,dep,cancel_rate,MSP,0.0
EWR,dep,cancel_rate,BWI,0.0
EWR,dep,cancel_rate,AUS,0.0
EWR,dep,cancel_rate,MIA,0.0
EWR,dep,cancel_rate,SMF,0.0
EWR,dep,cancel_rate,IAD,0.0
EWR,dep,cancel_rate,STL,0.0
EWR,dep,cancel_rate,MCI,0.0
EWR,dep,cancel_rate,RDU,0.0
EWR,dep,cancel_rate,HNL,0.0
EWR,dep,cancel_rate,RSW,0.0
EWR,dep,delay15_rate,BOS,0.21854717312135594
EWR,dep,delay15_rate,LGA,0.2080509044252702
EWR,dep,delay15_rate,BWI,0.1685195314130496
EWR,dep,delay15_rate,IAH,0.14091022493706998
EWR,dep,delay15_rate,DAL,0.1049245162872629
EWR,dep,delay15_rate,SFO,0.08241955733964389
EWR,dep,delay15_rate,CMH,0.041787616451040274
EWR,dep,delay15_rate,HOU,0.034840476025306114
EWR,dep,delay15_rate,MSY,1.421239963518516e-16
EWR,dep,delay15_rate,MIA,9.972052834150846e-17
EWR,dep,delay15_rate,SJC,9.106684207924433e-17
EWR,dep,delay15_rate,CLT,7.475514310662144e-17
EWR,dep,delay15_rate,MCO,7.325295192047935e-17
EWR,dep,delay15_rate,AUS,6.259343270843616e-17
EWR,dep,delay15_rate,MSP,5.537245823364537e-17
EWR,dep,delay15_rate,SAT,5.511820805237467e-17
EWR,dep,delay15_rate,FLL,5.3656713351118825e-17
EWR,dep,delay15_rate,SEA,5.1701123641318937e-17
EWR,dep,delay15_rate,SMF,5.081087962870404e-17
EWR,dep,delay15_rate,STL,4.985780578468706e-17
EWR,dep,delay15_rate,SAN,4.59753068118445e-17
EWR,dep,delay15_rate,SLC,4.449258810763748e-17
EWR,dep,delay15_rate,ATL,4.256988886346042e-17
EWR,dep,delay15_rate,RDU,2.3088605490155538e-17
EWR,dep,delay15_rate,PIT,1.488093583139143e-17
EWR,dep,delay15_rate,DEN,8.993872017593507e-18
EWR,dep,delay15_rate,CVG,2.0724309956119617e-18
EWR,dep,delay15_rate,BNA,1.6485265420229098e-18
EWR,dep,delay15_rate,PHX,7.560237650698308e-20
EWR,dep,delay15_rate,DFW,0.0
EWR,dep,delay15_rate,ORD,0.0
EWR,dep,delay15_rate,LAS,0.0
EWR,dep,delay15_rate,LAX,0.0
EWR,dep,delay15_rate,DTW,0.0
EWR,dep,delay15_rate,DCA,0.0
EWR,dep,delay15_rate,PDX,0.0
EWR,dep,delay15_rate,IAD,0.0
EWR,dep,delay15_rate,JFK,0.0
EWR,dep,delay15_rate,PHL,0.0
EWR,dep,delay15_rate,TPA,0.0
EWR,dep,delay15_rate,MDW,0.0
EWR,dep,delay15_rate,MCI,0.0
EWR,dep,delay15_rate,IND,0.0
EWR,dep,delay15_rate,HNL,0.0
EWR,dep,delay15_rate,SNA,0.0
EWR,dep,delay15_rate,CLE,0.0
EWR,dep,delay15_rate,OAK,0.0
EWR,dep,delay15_rate,RSW,0.0
EWR,dep,delay15_rate,SJU,0.0
EWR,dep,nas_delay_per_scheduled_op,MCO,0.3264714932671063
EWR,dep,nas_delay_per_scheduled_op,JFK,0.2988998775866936
EWR,dep,nas_delay_per_scheduled_op,IAH,0.12485554812942105
EWR,dep,nas_delay_per_scheduled_op,BOS,0.11976050794955452
EWR,dep,nas_delay_per_scheduled_op,IAD,0.06968515872745067
EWR,dep,nas_delay_per_scheduled_op,RSW,0.03615519084652855
EWR,dep,nas_delay_per_scheduled_op,FLL,0.024172223493244556
EWR,dep,nas_delay_per_scheduled_op,DCA,1.408041223373164e-16
EWR,dep,nas_delay_per_scheduled_op,SAT,8.346392076410651e-17
EWR,dep,nas_delay_per_scheduled_op,ORD,8.338417704114845e-17
EWR,dep,nas_delay_per_scheduled_op,CLE,8.295774767857618e-17
EWR,dep,nas_delay_per_scheduled_op,CMH,5.83937647963688e-17
EWR,dep,nas_delay_per_scheduled_op,BNA,5.828053555926517e-17
EWR,dep,nas_delay_per_scheduled_op,PHL,5.084666587234905e-17
EWR,dep,nas_delay_per_scheduled_op,IND,4.80592382020771e-17
EWR,dep,nas_delay_per_scheduled_op,HOU,4.6074375839342663e-17
EWR,dep,nas_delay_per_scheduled_op,SJC,3.5973196237247354e-17
EWR,dep,nas_delay_per_scheduled_op,TPA,2.836309563133745e-17
EWR,dep,nas_delay_per_scheduled_op,MIA,2.751075445927265e-17
EWR,dep,nas_delay_per_scheduled_op,PIT,2.0821850641602004e-17
EWR,dep,nas_delay_per_scheduled_op,SLC,1.9448040930581396e-17
EWR,dep,nas_delay_per_scheduled_op,LAX,1.7056145394732353e-17
EWR,dep,nas_delay_per_scheduled_op,MCI,1.3213032018128956e-17
EWR,dep,nas_delay_per_scheduled_op,CLT,1.0662190321904714e-17
EWR,dep,nas_delay_per_scheduled_op,SMF,9.715419126333764e-18
EWR,dep,nas_delay_per_scheduled_op,MDW,5.497130140670364e-18
EWR,dep,nas_delay_per_scheduled_op,SEA,5.587588351748416e-19
EWR,dep,nas_delay_per_scheduled_op,SFO,0.0
EWR,dep,nas_delay_per_scheduled_op,ATL,0.0
EWR,dep,nas_delay_per_scheduled_op,PHX,0.0
EWR,dep,nas_delay_per_scheduled_op,DEN,0.0
EWR,dep,nas_delay_per_scheduled_op,DFW,0.0
EWR,dep,nas_delay_per_scheduled_op,LAS,0.0
EWR,dep,nas_delay_per_scheduled_op,LGA,0.0
EWR,dep,nas_delay_per_scheduled_op,DTW,0.0
EWR,dep,nas_delay_per_scheduled_op,DAL,0.0
EWR,dep,nas_delay_per_scheduled_op,STL,0.0
EWR,dep,nas_delay_per_scheduled_op,MSP,0.0
EWR,dep,nas_delay_per_scheduled_op,BWI,0.0
EWR,dep,nas_delay_per_scheduled_op,SAN,0.0
EWR,dep,nas_delay_per_scheduled_op,AUS,0.0
EWR,dep,nas_delay_per_scheduled_op,PDX,0.0
EWR,dep,nas_delay_per_scheduled_op,RDU,0.0
EWR,dep,nas_delay_per_scheduled_op,MSY,0.0
EWR,dep,nas_delay_per_scheduled_op,HNL,0.0
EWR,dep,nas_delay_per_scheduled_op,SNA,0.0
EWR,dep,nas_delay_per_scheduled_op,OAK,0.0
EWR,dep,nas_delay_per_scheduled_op,SJU,0.0
EWR,dep,nas_delay_per_scheduled_op,CVG,0.0
